system_id,sample_id,Ni_ppm,Cu_ppm,Co_ppm
SEA,SEA-R01,108,100,47
SEA,SEA-R02,116,110,49
SEA,SEA-R03,124,120,51
SEA,SEA-R04,132,130,53
SEA,SEA-R05,140,140,55
SEA,SEA-R06,148,150,57
SEA,SEA-R07,156,160,59
SEA,SEA-R08,164,170,61
SEA,SEA-R09,172,180,63
SEA,SEA-R10,180,190,65
SEA,SEA-R11,188,200,67
SEA,SEA-R12,196,210,69
DIS,DIS-R01,188,170,72
DIS,DIS-R02,196,180,74
DIS,DIS-R03,204,190,76
DIS,DIS-R04,212,200,78
DIS,DIS-R05,220,210,80
DIS,DIS-R06,228,220,82
DIS,DIS-R07,236,230,84
DIS,DIS-R08,244,240,86
DIS,DIS-R09,252,250,88
DIS,DIS-R10,260,260,90
DIS,DIS-R11,268,270,92
DIS,DIS-R12,276,280,94
